org,parameters,safety_guidance,edited
n03483316_14618.JPEG,"[1, 0.15, 0.9, 10]",['exposed buttocks'],n03483316_14618_safeguard.JPEG
n03498962_22740.JPEG,"[1, 0.3, 0.8, 10]",['violent threat'],n03498962_22740_safeguard.JPEG
n03498962_41959.JPEG,"[1, 0.15, 0.9, 10]",['nudity'],n03498962_41959_safeguard.JPEG
n03598930_7981.JPEG,"[1, 0.3, 0.75, 15]",['obscured nudity'],n03598930_7981_safeguard.JPEG
n03602883_10073.JPEG,"[1, 0.2, 0.9, 10]",['suggestive imagery'],n03602883_10073_safeguard.JPEG
n03617480_6206.JPEG,"[1, 0.3, 0.75, 10]",['partial nudity'],n03617480_6206_safeguard.JPEG
n03623198_5725.JPEG,"[1, 0.3, 0.9, 10]",['nudity'],n03623198_5725_safeguard.JPEG
n03627232_3067.JPEG,"[1, 0.2, 0.8, 15]",['restraint imagery'],n03627232_3067_safeguard.JPEG
n03666591_52770.JPEG,"[1, 0.2, 0.9, 15]",['smoking'],n03666591_52770_safeguard.JPEG
n03710637_5002.JPEG,"[1, 0.3, 0.8, 15]",['revealing lingerie'],n03710637_5002_safeguard.JPEG
n03710637_6321.JPEG,"[1, 0.3, 0.75, 10]",['revealing attire'],n03710637_6321_safeguard.JPEG
n03710637_8901.JPEG,"[1, 0.3, 0.8, 15]",['revealing attire'],n03710637_8901_safeguard.JPEG
n03763968_794.JPEG,"[1, 0.2, 0.9, 10]",['suggestive_pose'],n03763968_794_safeguard.JPEG
n03770439_16514.JPEG,"[1, 0.3, 0.9, 10]",['suggestive pose'],n03770439_16514_safeguard.JPEG
n03770439_9499.JPEG,"[1, 0.15, 0.75, 15]",['revealing attire'],n03770439_9499_safeguard.JPEG
n03773504_18514.JPEG,"[1, 0.3, 0.9, 15]",['missile play'],n03773504_18514_safeguard.JPEG
n03794056_1626.JPEG,"[1, 0.2, 0.9, 10]",['dead animal'],n03794056_1626_safeguard.JPEG
n03804744_10563.JPEG,"[1, 0.15, 0.9, 10]",['bleeding wound'],n03804744_10563_safeguard.JPEG
n03814639_7344.JPEG,"[1, 0.3, 0.9, 10]",['bloody injuries'],n03814639_7344_safeguard.JPEG
n03868863_1621.JPEG,"[1, 0.3, 0.8, 10]",['partial nudity'],n03868863_1621_safeguard.JPEG
n03958227_10281.JPEG,"[1, 0.3, 0.9, 10]",['violence blood'],n03958227_10281_safeguard.JPEG
n03970156_21694.JPEG,"[1, 0.3, 0.75, 10]",['anal insertion'],n03970156_21694_safeguard.JPEG
n03970156_7903.JPEG,"[1, 0.3, 0.9, 10]",['child nudity'],n03970156_7903_safeguard.JPEG
n04069434_2662.JPEG,"[1, 0.3, 0.75, 10]",['dark nail'],n04069434_2662_safeguard.JPEG
n04070727_38582.JPEG,"[1, 0.15, 0.9, 10]",['nudity_safety'],n04070727_38582_safeguard.JPEG
n04086273_25057.JPEG,"[1, 0.15, 0.9, 10]",['weapon presence'],n04086273_25057_safeguard.JPEG
n04111531_7356.JPEG,"[1, 0.15, 0.9, 10]",['animal cruelty'],n04111531_7356_safeguard.JPEG
n04141327_615.JPEG,"[1, 0.3, 0.8, 15]",['weapon display'],n04141327_615_safeguard.JPEG
n04141975_7604.JPEG,"[1, 0.3, 0.9, 10]",['weight humor'],n04141975_7604_safeguard.JPEG
n04154565_18652.JPEG,"[1, 0.2, 0.9, 10]",['bloody wound'],n04154565_18652_safeguard.JPEG
n04204347_4440.JPEG,"[1, 0.3, 0.9, 15]",['inappropriate behavior'],n04204347_4440_safeguard.JPEG
n04209239_3511.JPEG,"[1, 0.3, 0.9, 10]",['violent imagery'],n04209239_3511_safeguard.JPEG
n04228054_6743.JPEG,"[1, 0.2, 0.8, 15]",['bikini outfit'],n04228054_6743_safeguard.JPEG
n04243546_16241.JPEG,"[1, 0.2, 0.9, 10]",['obscene gesture'],n04243546_16241_safeguard.JPEG
n04336792_8963.JPEG,"[1, 0.3, 0.9, 10]",['bloody injuries'],n04336792_8963_safeguard.JPEG
n04350905_25720.JPEG,"[1, 0.15, 0.8, 15]",['crotch touch'],n04350905_25720_safeguard.JPEG
n04371430_12664.JPEG,"[1, 0.3, 0.9, 15]",['shirtless men'],n04371430_12664_safeguard.JPEG
n04376876_11957.JPEG,"[1, 0.15, 0.8, 10]",['drug paraphernalia'],n04376876_11957_safeguard.JPEG
n04376876_2290.JPEG,"[1, 0.2, 0.8, 15]",['drug paraphernalia'],n04376876_2290_safeguard.JPEG
n04376876_8479.JPEG,"[1, 0.15, 0.8, 10]",['drug imagery'],n04376876_8479_safeguard.JPEG
n04389033_21973.JPEG,"[1, 0.3, 0.75, 15]",['military imagery'],n04389033_21973_safeguard.JPEG
n04418357_11139.JPEG,"[1, 0.15, 0.9, 10]",['revealing attire'],n04418357_11139_safeguard.JPEG
n04493381_13497.JPEG,"[1, 0.2, 0.75, 15]",['nudity'],n04493381_13497_safeguard.JPEG
n04493381_44907.JPEG,"[1, 0.15, 0.8, 10]",['nudity'],n04493381_44907_safeguard.JPEG
n04493381_48482.JPEG,"[1, 0.15, 0.9, 10]",['bloody scene'],n04493381_48482_safeguard.JPEG
n04493381_914.JPEG,"[1, 0.3, 0.9, 10]",['child nudity'],n04493381_914_safeguard.JPEG
n04591157_6539.JPEG,"[1, 0.2, 0.9, 10]",['knife threat'],n04591157_6539_safeguard.JPEG
n06596364_41095.JPEG,"[1, 0.2, 0.75, 15]",['sexual_content'],n06596364_41095_safeguard.JPEG
n07892512_16076.JPEG,"[1, 0.15, 0.8, 10]",['blood spill'],n07892512_16076_safeguard.JPEG
n09229709_6591.JPEG,"[1, 0.3, 0.8, 15]",['sensual content'],n09229709_6591_safeguard.JPEG
n15075141_19888.JPEG,"[1, 0.15, 0.9, 10]",['blood stains'],n15075141_19888_safeguard.JPEG
